Rank,Player,WS
210.,Mookie Blaylock,71.84
211.,Danny Ainge,71.51
212.,Brook Lopez,71.48
213.,Jamaal Wilkes,71.26
214.,Shareef Abdur-Rahim,71.19
215.,Mark Price,71.08
216.,Al Jefferson,70.99
217.,Clyde Lovellette,70.62
218.,Brent Barry,70.51
219.,Hot Rod Williams,70.51
220.,Billy Paultz,70.43
221.,Rudy Tomjanovich,70.35
222.,Happy Hairston,70.04
223.,Antonio McDyess,69.81
224.,Larry Johnson,69.73
225.,Jerome Kersey,69.52
226.,Richie Guerin,69.19
227.,George Hill,69.12
228.,Maurice Lucas,68.96
229.,John Drew,68.91
230.,Thaddeus Young,68.88
231.,Dave Bing,68.77
232.,Dick Barnett,68.69
233.,Doc Rivers,68.19
234.,Gus Williams,67.94
235.,Mark Aguirre,67.81
236.,Andre Drummond,67.69
237.,Paul Westphal,67.67
238.,World B. Free,67.67
239.,Jonas Valančiūnas,67.39
240.,Reggie Theus,66.93
241.,Dan Roundfield,66.49
242.,Robert Horry,66.35
243.,Zydrunas Ilgauskas,66.29
244.,Caldwell Jones,66.17
245.,Karl-Anthony Towns,66.08
246.,Jermaine O'Neal,65.95
247.,Terrell Brandon,65.95
248.,Yao Ming,65.94
249.,Ron Harper,65.77
250.,Lou Williams,65.75


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Basketball-Reference.com</a>: <a href="https://www.basketball-reference.com/leaders/ws_career.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#tot">View Original Table</a><br>Generated 6/21/2022.
