--- When using SR data, please cite us and provide a link and/or a mention.


 
Rank,Player,VORP
178.,Donovan Mitchell,2.18
179.,Jack Sikma*,2.17
180.,Larry Johnson,2.17
181.,Rik Smits,2.16
182.,Brad Daugherty,2.12
183.,Sean Elliott,2.11
184.,Jamal Murray,2.11
185.,Antonio Daniels,2.11
186.,Jae Crowder,2.09
187.,Joakim Noah,2.07
188.,Paul Silas,2.07
189.,Bill Walton*,2.05
190.,Paul Westphal*,2.04
191.,P.J. Tucker,2.02
192.,Chris Mullin*,2.01
193.,Dale Davis,2.00
194.,Arvydas Sabonis*,1.99
195.,Andrei Kirilenko,1.96
196.,Mark Price,1.95
197.,Carlos Boozer,1.94
198.,Johnny Moore,1.93
199.,J.R. Smith,1.93
200.,Shane Battier,1.92
201.,Fred Brown,1.91
202.,Kirk Hinrich,1.87
203.,DeAndre Jordan,1.87
204.,Rudy Gobert,1.86
205.,Bob McAdoo*,1.84
206.,Mario Elie,1.84
207.,Dennis Rodman*,1.83
208.,Allan Houston,1.82
209.,Sam Cassell,1.82
210.,Aaron McKie,1.81
211.,Kevin Love,1.80
212.,Tobias Harris,1.80
213.,Darryl Dawkins,1.79
214.,Fat Lever,1.79
215.,Grant Hill*,1.78
216.,Caldwell Jones,1.78
217.,Reggie Jackson,1.78
218.,Bam Adebayo,1.76
219.,Jason Richardson,1.75
220.,Kenny Smith,1.74
221.,Clifford Ray,1.73
222.,Reggie Lewis,1.72
223.,Jamaal Wilkes*,1.71
224.,A.C. Green,1.71
225.,Jameer Nelson,1.69
226.,Stephen Jackson,1.69
227.,Nicolas Batum,1.69
228.,Bernard King*,1.68
229.,Tim Thomas,1.67
230.,Nick Anderson,1.67
231.,Josh Howard,1.66
232.,Doug Christie,1.66
233.,Rod Strickland,1.64
234.,Kyle Korver,1.64
235.,Marcus Smart,1.63
236.,Ben Simmons,1.63
237.,Steve Mix,1.62
238.,Tony Allen,1.62
239.,Louie Dampier*,1.61
240.,Elton Brand,1.60
241.,Jo Jo White*,1.60
242.,Deandre Ayton,1.58
243.,Hedo Türkoğlu,1.57
244.,B.J. Armstrong,1.56
245.,Don Buse,1.55
246.,Tyrone Corbin,1.55
247.,Kiki Vandeweghe,1.55
248.,Buck Williams,1.54
249.,Chris Morris,1.53
250.,Brent Barry,1.53


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Basketball-Reference.com</a>: <a href="https://www.basketball-reference.com/leaders/vorp_career_p.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#tot">View Original Table</a><br>Generated 6/17/2022.
