--- When using SR data, please cite us and provide a link and/or a mention.


 
Rank,Player,BPM
205.,Metta World Peace,1.20
206.,Andrew Bogut,1.18
207.,Michael Cooper,1.18
208.,Billy Knight,1.17
209.,Sam Perkins,1.15
210.,Donyell Marshall,1.14
211.,Doug Christie,1.14
212.,David Lee,1.14
213.,Jonas Valančiūnas,1.13
214.,Danny Ainge,1.13
215.,Ricky Pierce,1.11
216.,Tony Parker,1.11
217.,Mehmet Okur,1.11
218.,Tree Rollins,1.10
219.,Tobias Harris,1.06
220.,Ryan Anderson,1.04
221.,Rodney McCray,1.04
222.,Danny Manning,1.02
223.,Christian Laettner,1.01
224.,Anthony Mason,1.01
225.,Shareef Abdur-Rahim,1.01
226.,Michael Finley,1.00
227.,Hot Rod Williams,1.00
228.,Jim Eakins,0.99
229.,Jimmy Jones,0.98
230.,Kevin Martin,0.98
231.,Derek Anderson,0.97
232.,Derrick McKey,0.97
233.,José Calderón,0.96
234.,Nenê,0.95
235.,Luol Deng,0.93
236.,Hedo Türkoğlu,0.91
237.,Wesley Person,0.90
238.,Chris Morris,0.89
239.,Derrick Favors,0.89
240.,Dennis Rodman*,0.89
241.,Victor Oladipo,0.88
242.,Dell Curry,0.88
243.,Kiki Vandeweghe,0.86
244.,Joe Dumars*,0.85
245.,Mike Miller,0.84
246.,Glen Rice,0.84
247.,Tyreke Evans,0.83
248.,Steve Kerr,0.83
249.,Rich Kelley,0.82
250.,Mickey Johnson,0.80


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Basketball-Reference.com</a>: <a href="https://www.basketball-reference.com/leaders/bpm_career.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#tot">View Original Table</a><br>Generated 6/17/2022.
