--- When using SR data, please cite us and provide a link and/or a mention.


 
Rank,Player,VORP
204.,Danilo Gallinari,20.83
205.,Yao Ming*,20.75
206.,Doug Christie,20.69
207.,Kyle Korver,20.67
208.,Joel Embiid,20.41
209.,Derrick McKey,20.38
210.,Danny Green,20.23
211.,Bo Outlaw,20.03
212.,Thaddeus Young,19.99
213.,Hot Rod Williams,19.93
214.,Michael Adams,19.86
215.,Donyell Marshall,19.85
216.,Mike Miller,19.84
217.,Luka Dončić,19.80
218.,Rolando Blackman,19.78
219.,Dan Roundfield,19.70
220.,Hedo Türkoğlu,19.64
221.,Christian Laettner,19.54
222.,Shawn Kemp,19.41
223.,Richard Jefferson,19.40
224.,Jerome Kersey,19.29
225.,George Hill,19.26
226.,David Lee,19.18
227.,Rodney McCray,19.09
228.,Otis Thorpe,19.07
229.,Michael Cooper,19.06
230.,Billy Knight,19.02
231.,Eric Bledsoe,18.83
232.,Tree Rollins,18.83
233.,Nenê,18.80
234.,Zach Randolph,18.78
235.,John Drew,18.72
236.,Ricky Pierce,18.56
237.,Reggie Theus,18.53
238.,Derrick Rose,18.46
239.,Dale Davis,18.44
240.,Danny Manning,18.43
241.,Arvydas Sabonis*,18.42
242.,Jamal Crawford,18.39
243.,Tobias Harris,18.25
244.,Greg Ballard,18.07
245.,Dana Barros,18.06
246.,Kerry Kittles,18.03
247.,Tayshaun Prince,18.02
248.,Antoine Walker,17.99
249.,Muggsy Bogues,17.94
250.,Kiki Vandeweghe,17.74


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Basketball-Reference.com</a>: <a href="https://www.basketball-reference.com/leaders/vorp_career.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#tot">View Original Table</a><br>Generated 6/17/2022.
